cleaned_review,sentiment,sentiment_category,tokenized_review
barely step low cost airlines try dime nickel everywhere possible found select seat check anymore baggage next time go low cost carrier since virtually difference anymore,0.01,positive,"['barely', 'step', 'low', 'cost', 'airlines', 'try', 'dime', 'nickel', 'everywhere', 'possible', 'found', 'select', 'seat', 'check', 'anymore', 'baggage', 'next', 'time', 'go', 'low', 'cost', 'carrier', 'since', 'virtually', 'difference', 'anymore']"
happy crew hadnt plane years stressed made comfortable want say thank crew helping relax go back france im going airways,0.4,positive,"['happy', 'crew', 'hadnt', 'plane', 'years', 'stressed', 'made', 'comfortable', 'want', 'say', 'thank', 'crew', 'helping', 'relax', 'go', 'back', 'france', 'im', 'going', 'airways']"
horrible service boarding landing flew london marrakech disappointed arrangement boarding food horrible staff arrogant seats super uncomfortable hmin business class today taking marrakech london recommend,-0.583333333,negative,"['horrible', 'service', 'boarding', 'landing', 'flew', 'london', 'marrakech', 'disappointed', 'arrangement', 'boarding', 'food', 'horrible', 'staff', 'arrogant', 'seats', 'super', 'uncomfortable', 'hmin', 'business', 'class', 'today', 'taking', 'marrakech', 'london', 'recommend']"
wife disappointed flying airways cancelled airlines flying addition seats changed multiple times without explanation people working rude customer oriented,-0.35,negative,"['wife', 'disappointed', 'flying', 'airways', 'cancelled', 'airlines', 'flying', 'addition', 'seats', 'changed', 'multiple', 'times', 'without', 'explanation', 'people', 'working', 'rude', 'customer', 'oriented']"
flew heathrow berlin one way connection experience ground staff heathrow good friendly helpful check baggage drop crew also good captain provided general information welcoming suitable casual efficient way stewards also friendly handed water small snack chocolate bar unexpected hr min seating typical class aircraft ticket cleanliness optimal could improved memory slightly delayed departure heathrow slightly reduced arrival berlin issue us berlin destination connecting concerns baggage arrived safely berlin understand negative reviews customers experience occasion positive would happily recommend use,0.176704545,positive,"['flew', 'heathrow', 'berlin', 'one', 'way', 'connection', 'experience', 'ground', 'staff', 'heathrow', 'good', 'friendly', 'helpful', 'check', 'baggage', 'drop', 'crew', 'also', 'good', 'captain', 'provided', 'general', 'information', 'welcoming', 'suitable', 'casual', 'efficient', 'way', 'stewards', 'also', 'friendly', 'handed', 'water', 'small', 'snack', 'chocolate', 'bar', 'unexpected', 'hr', 'min', 'seating', 'typical', 'class', 'aircraft', 'ticket', 'cleanliness', 'optimal', 'could', 'improved', 'memory', 'slightly', 'delayed', 'departure', 'heathrow', 'slightly', 'reduced', 'arrival', 'berlin', 'issue', 'us', 'berlin', 'destination', 'connecting', 'concerns', 'baggage', 'arrived', 'safely', 'berlin', 'understand', 'negative', 'reviews', 'customers', 'experience', 'occasion', 'positive', 'would', 'happily', 'recommend', 'use']"
absolutely disgusted flights cancelled may even though still departed connecting manchester heathrow cancelled due weather could get compensation turns get compensation seattle either even though actually cancelled us never fly,-0.38125,negative,"['absolutely', 'disgusted', 'flights', 'cancelled', 'may', 'even', 'though', 'still', 'departed', 'connecting', 'manchester', 'heathrow', 'cancelled', 'due', 'weather', 'could', 'get', 'compensation', 'turns', 'get', 'compensation', 'seattle', 'either', 'even', 'though', 'actually', 'cancelled', 'us', 'never', 'fly']"
took nashville wife leisure break arrived directed club world check zone left terminal zone seemed way small number passengers check process painfully slow queues non premium cabins seemed much effectively managed bite eat departures lounge plenty food options even though busy departed furthest away satellite gate c annex boarding managed efficiently seat club suites section lots space comfortable crew average friendly attentive chose salmon dish glad run row entertainment little disappointing terms latest release movies meal prior landing taste skipped landed right schedule complaints basis,0.111547619,positive,"['took', 'nashville', 'wife', 'leisure', 'break', 'arrived', 'directed', 'club', 'world', 'check', 'zone', 'left', 'terminal', 'zone', 'seemed', 'way', 'small', 'number', 'passengers', 'check', 'process', 'painfully', 'slow', 'queues', 'non', 'premium', 'cabins', 'seemed', 'much', 'effectively', 'managed', 'bite', 'eat', 'departures', 'lounge', 'plenty', 'food', 'options', 'even', 'though', 'busy', 'departed', 'furthest', 'away', 'satellite', 'gate', 'c', 'annex', 'boarding', 'managed', 'efficiently', 'seat', 'club', 'suites', 'section', 'lots', 'space', 'comfortable', 'crew', 'average', 'friendly', 'attentive', 'chose', 'salmon', 'dish', 'glad', 'run', 'row', 'entertainment', 'little', 'disappointing', 'terms', 'latest', 'release', 'movies', 'meal', 'prior', 'landing', 'taste', 'skipped', 'landed', 'right', 'schedule', 'complaints', 'basis']"
nightmare journey courtesy airways worst experience years flying booked scheduled depart heathrow sept boarded hrs late despite plane gate wait crew arrive approximately hr pilot advised weather radar wasnt working would returning heathrow circled approx mins landing member staff present offer advice alternative flights customer service desk stated would deal await email email finally arrived hour husband fortunate enough allocated seats time boarded approx hrs late plane gate wait crew result around reached venice long wait taxis meant didnt reach hotel beyond mestre weve since learnt cancelled hundreds flights past several days claiming bad weather yet according flightradar airline flying heathrow cancelled flights,-0.216666667,negative,"['nightmare', 'journey', 'courtesy', 'airways', 'worst', 'experience', 'years', 'flying', 'booked', 'scheduled', 'depart', 'heathrow', 'sept', 'boarded', 'hrs', 'late', 'despite', 'plane', 'gate', 'wait', 'crew', 'arrive', 'approximately', 'hr', 'pilot', 'advised', 'weather', 'radar', 'wasnt', 'working', 'would', 'returning', 'heathrow', 'circled', 'approx', 'mins', 'landing', 'member', 'staff', 'present', 'offer', 'advice', 'alternative', 'flights', 'customer', 'service', 'desk', 'stated', 'would', 'deal', 'await', 'email', 'email', 'finally', 'arrived', 'hour', 'husband', 'fortunate', 'enough', 'allocated', 'seats', 'time', 'boarded', 'approx', 'hrs', 'late', 'plane', 'gate', 'wait', 'crew', 'result', 'around', 'reached', 'venice', 'long', 'wait', 'taxis', 'meant', 'didnt', 'reach', 'hotel', 'beyond', 'mestre', 'weve', 'since', 'learnt', 'cancelled', 'hundreds', 'flights', 'past', 'several', 'days', 'claiming', 'bad', 'weather', 'yet', 'according', 'flightradar', 'airline', 'flying', 'heathrow', 'cancelled', 'flights']"
absolutely atrocious lhrordlhr roundtrip airways truly disgrace national airline eight seats first class would think could provide genuine white glove experience instead crew first class ways inattentive illmannered badly trained one gets better service mcdonalds bas new first suite small uncomfortable cubicle miles behind premium classes airlines movie selection poor wifi work properly amenity kit tiny cheap airplane dirty clearly cleaned haste food served first class grim especially bad ordlhr sector crew sectors spent time galley disappeared meal service overall airways continues decline one wouldnt fly alternative add insult injury flies chicago international terminal decided ordlhr return flies american airlines terminal including use aa dreadful flagship lounge course nothing change governments given virtual monopoly continue mediocre leadership care costs share portfolio,-0.136201299,negative,"['absolutely', 'atrocious', 'lhrordlhr', 'roundtrip', 'airways', 'truly', 'disgrace', 'national', 'airline', 'eight', 'seats', 'first', 'class', 'would', 'think', 'could', 'provide', 'genuine', 'white', 'glove', 'experience', 'instead', 'crew', 'first', 'class', 'ways', 'inattentive', 'illmannered', 'badly', 'trained', 'one', 'gets', 'better', 'service', 'mcdonalds', 'bas', 'new', 'first', 'suite', 'small', 'uncomfortable', 'cubicle', 'miles', 'behind', 'premium', 'classes', 'airlines', 'movie', 'selection', 'poor', 'wifi', 'work', 'properly', 'amenity', 'kit', 'tiny', 'cheap', 'airplane', 'dirty', 'clearly', 'cleaned', 'haste', 'food', 'served', 'first', 'class', 'grim', 'especially', 'bad', 'ordlhr', 'sector', 'crew', 'sectors', 'spent', 'time', 'galley', 'disappeared', 'meal', 'service', 'overall', 'airways', 'continues', 'decline', 'one', 'wouldnt', 'fly', 'alternative', 'add', 'insult', 'injury', 'flies', 'chicago', 'international', 'terminal', 'decided', 'ordlhr', 'return', 'flies', 'american', 'airlines', 'terminal', 'including', 'use', 'aa', 'dreadful', 'flagship', 'lounge', 'course', 'nothing', 'change', 'governments', 'given', 'virtual', 'monopoly', 'continue', 'mediocre', 'leadership', 'care', 'costs', 'share', 'portfolio']"
someone flies relentlessly airways business pleasure generally routing gold frequent flier weve come accept shocking food service exorbitant prices outdated planes get plane primary role crew safety however said crew look like fallen bed dress properly case men find razor question ability react emergency situation enough said,-0.121428571,negative,"['someone', 'flies', 'relentlessly', 'airways', 'business', 'pleasure', 'generally', 'routing', 'gold', 'frequent', 'flier', 'weve', 'come', 'accept', 'shocking', 'food', 'service', 'exorbitant', 'prices', 'outdated', 'planes', 'get', 'plane', 'primary', 'role', 'crew', 'safety', 'however', 'said', 'crew', 'look', 'like', 'fallen', 'bed', 'dress', 'properly', 'case', 'men', 'find', 'razor', 'question', 'ability', 'react', 'emergency', 'situation', 'enough', 'said']"
